series_index,kemet_pn,ref_des,y_label,y_unit,x,y
2,C0805C106K3PACTU,,Impedance,Ω,251188.703125,0.06814510375261307
2,C0805C106K3PACTU,,Impedance,Ω,263026.84375,0.0651000440120697
2,C0805C106K3PACTU,,Impedance,Ω,275422.90625,0.06218896061182022
2,C0805C106K3PACTU,,Impedance,Ω,288403.1875,0.05940587446093559
2,C0805C106K3PACTU,,Impedance,Ω,301995.1875,0.05674503371119499
2,C0805C106K3PACTU,,Impedance,Ω,316227.78125,0.05420096591114998
2,C0805C106K3PACTU,,Impedance,Ω,331131.09375,0.051768410950899124
2,C0805C106K3PACTU,,Impedance,Ω,346736.8125,0.049442365765571594
2,C0805C106K3PACTU,,Impedance,Ω,363078,0.04721802473068237
2,C0805C106K3PACTU,,Impedance,Ω,380189.34375,0.04509080573916435
2,C0805C106K3PACTU,,Impedance,Ω,398107.09375,0.043056339025497437
2,C0805C106K3PACTU,,Impedance,Ω,416869.28125,0.041110433638095856
2,C0805C106K3PACTU,,Impedance,Ω,436515.6875,0.03924908861517906
2,C0805C106K3PACTU,,Impedance,Ω,457088.03125,0.037468455731868744
2,C0805C106K3PACTU,,Impedance,Ω,478629.90625,0.035764891654253006
2,C0805C106K3PACTU,,Impedance,Ω,501187,0.03413490578532219
2,C0805C106K3PACTU,,Impedance,Ω,524807.1875,0.03257513418793678
2,C0805C106K3PACTU,,Impedance,Ω,549540.5625,0.031082388013601303
2,C0805C106K3PACTU,,Impedance,Ω,575440.25,0.02965359017252922
2,C0805C106K3PACTU,,Impedance,Ω,602559.875,0.02828587219119072
2,C0805C106K3PACTU,,Impedance,Ω,630957.625,0.02697642706334591
2,C0805C106K3PACTU,,Impedance,Ω,660693.6875,0.025722593069076538
2,C0805C106K3PACTU,,Impedance,Ω,691831.1875,0.02452181465923786
2,C0805C106K3PACTU,,Impedance,Ω,724436.1875,0.023371687158942223
2,C0805C106K3PACTU,,Impedance,Ω,758577.75,0.022269895300269127
2,C0805C106K3PACTU,,Impedance,Ω,794328.4375,0.021214226260781288
2,C0805C106K3PACTU,,Impedance,Ω,831763.9375,0.020202603191137314
2,C0805C106K3PACTU,,Impedance,Ω,870963.6875,0.019233031198382378
2,C0805C106K3PACTU,,Impedance,Ω,912010.9375,0.018303634598851204
2,C0805C106K3PACTU,,Impedance,Ω,954992.625,0.017412612214684486
2,C0805C106K3PACTU,,Impedance,Ω,1e+06,0.016558310016989708
2,C0805C106K3PACTU,,Impedance,Ω,1.0471285e+06,0.015739142894744873
2,C0805C106K3PACTU,,Impedance,Ω,1.096478125e+06,0.014953644014894962
2,C0805C106K3PACTU,,Impedance,Ω,1.1481535e+06,0.014200448989868164
2,C0805C106K3PACTU,,Impedance,Ω,1.20226425e+06,0.013485175557434559
2,C0805C106K3PACTU,,Impedance,Ω,1.258925125e+06,0.012807820923626423
2,C0805C106K3PACTU,,Impedance,Ω,1.318256375e+06,0.012161045335233212
2,C0805C106K3PACTU,,Impedance,Ω,1.380383875e+06,0.011544190347194672
2,C0805C106K3PACTU,,Impedance,Ω,1.44543925e+06,0.01095678098499775
2,C0805C106K3PACTU,,Impedance,Ω,1.513560625e+06,0.010398524813354015
2,C0805C106K3PACTU,,Impedance,Ω,1.5848925e+06,0.009869348257780075
2,C0805C106K3PACTU,,Impedance,Ω,1.659586125e+06,0.009369408711791039
2,C0805C106K3PACTU,,Impedance,Ω,1.737799875e+06,0.008899131789803505
2,C0805C106K3PACTU,,Impedance,Ω,1.819701875e+06,0.008459207601845264
2,C0805C106K3PACTU,,Impedance,Ω,1.905461625e+06,0.008050665259361267
2,C0805C106K3PACTU,,Impedance,Ω,1.99526325e+06,0.007674811407923698
2,C0805C106K3PACTU,,Impedance,Ω,2.089297e+06,0.0073332758620381355
2,C0805C106K3PACTU,,Impedance,Ω,2.1877625e+06,0.007027973420917988
2,C0805C106K3PACTU,,Impedance,Ω,2.29086825e+06,0.0067610531114041805
2,C0805C106K3PACTU,,Impedance,Ω,2.3988335e+06,0.006534799002110958
2,C0805C106K3PACTU,,Impedance,Ω,2.511887e+06,0.006029913201928139
2,C0805C106K3PACTU,,Impedance,Ω,2.6302685e+06,0.00586642324924469
2,C0805C106K3PACTU,,Impedance,Ω,2.754229e+06,0.005750467535108328
2,C0805C106K3PACTU,,Impedance,Ω,2.88403175e+06,0.0056839450262486935
2,C0805C106K3PACTU,,Impedance,Ω,3.01995175e+06,0.005668007303029299
2,C0805C106K3PACTU,,Impedance,Ω,3.16227775e+06,0.005702913738787174
2,C0805C106K3PACTU,,Impedance,Ω,3.311311e+06,0.0057954201474785805
2,C0805C106K3PACTU,,Impedance,Ω,3.46736825e+06,0.005940904375165701
2,C0805C106K3PACTU,,Impedance,Ω,3.63078e+06,0.006138636730611324
2,C0805C106K3PACTU,,Impedance,Ω,3.80189325e+06,0.006386084947735071
2,C0805C106K3PACTU,,Impedance,Ω,3.98107075e+06,0.006680445279926062
2,C0805C106K3PACTU,,Impedance,Ω,4.16869275e+06,0.007018911652266979
2,C0805C106K3PACTU,,Impedance,Ω,4.365157e+06,0.00739888334646821
2,C0805C106K3PACTU,,Impedance,Ω,4.5708805e+06,0.00781809538602829
2,C0805C106K3PACTU,,Impedance,Ω,4.786299e+06,0.008274690248072147
2,C0805C106K3PACTU,,Impedance,Ω,5.01187e+06,0.008767238818109035
2,C0805C106K3PACTU,,Impedance,Ω,5.248072e+06,0.00929474551230669
2,C0805C106K3PACTU,,Impedance,Ω,5.495406e+06,0.00985661055892706
2,C0805C106K3PACTU,,Impedance,Ω,5.7544025e+06,0.010452614165842533
2,C0805C106K3PACTU,,Impedance,Ω,6.025599e+06,0.011082828976213932
2,C0805C106K3PACTU,,Impedance,Ω,6.309576e+06,0.011747676879167557
2,C0805C106K3PACTU,,Impedance,Ω,6.606937e+06,0.012447820976376534
2,C0805C106K3PACTU,,Impedance,Ω,6.918312e+06,0.01318417675793171
2,C0805C106K3PACTU,,Impedance,Ω,7.244362e+06,0.013957884162664413
2,C0805C106K3PACTU,,Impedance,Ω,7.5857775e+06,0.014770274981856346
2,C0805C106K3PACTU,,Impedance,Ω,7.943284e+06,0.015622884035110474
2,C0805C106K3PACTU,,Impedance,Ω,8.317639e+06,0.016517406329512596
2,C0805C106K3PACTU,,Impedance,Ω,8.709637e+06,0.01745573803782463
2,C0805C106K3PACTU,,Impedance,Ω,9.120109e+06,0.01843990571796894
2,C0805C106K3PACTU,,Impedance,Ω,9.549926e+06,0.019472122192382812
2,C0805C106K3PACTU,,Impedance,Ω,1e+07,0.020554756745696068
2,C0805C106K3PACTU,,Impedance,Ω,1.0471285e+07,0.021691441535949707
2,C0805C106K3PACTU,,Impedance,Ω,1.0964781e+07,0.022883661091327667
2,C0805C106K3PACTU,,Impedance,Ω,1.1481535e+07,0.024134289473295212
2,C0805C106K3PACTU,,Impedance,Ω,1.2022642e+07,0.025446325540542603
2,C0805C106K3PACTU,,Impedance,Ω,1.2589251e+07,0.02682298794388771
2,C0805C106K3PACTU,,Impedance,Ω,1.3182564e+07,0.02826765552163124
2,C0805C106K3PACTU,,Impedance,Ω,1.3803838e+07,0.02978387102484703
2,C0805C106K3PACTU,,Impedance,Ω,1.4454393e+07,0.03137541562318802
2,C0805C106K3PACTU,,Impedance,Ω,1.5135607e+07,0.03304622322320938
2,C0805C106K3PACTU,,Impedance,Ω,1.5848925e+07,0.03480047732591629
2,C0805C106K3PACTU,,Impedance,Ω,1.6595861e+07,0.036642540246248245
2,C0805C106K3PACTU,,Impedance,Ω,1.7378e+07,0.03857705369591713
2,C0805C106K3PACTU,,Impedance,Ω,1.8197018e+07,0.04060889035463333
2,C0805C106K3PACTU,,Impedance,Ω,1.9054616e+07,0.042743075639009476
2,C0805C106K3PACTU,,Impedance,Ω,1.9952632e+07,0.04498502239584923
2,C0805C106K3PACTU,,Impedance,Ω,2.089297e+07,0.04734036326408386
2,C0805C106K3PACTU,,Impedance,Ω,2.1877624e+07,0.049815040081739426
2,C0805C106K3PACTU,,Impedance,Ω,2.2908684e+07,0.052415285259485245
2,C0805C106K3PACTU,,Impedance,Ω,2.3988336e+07,0.0551476776599884
2,C0805C106K3PACTU,,Impedance,Ω,2.511887e+07,0.05801909789443016
2,C0805C106K3PACTU,,Impedance,Ω,2.6302684e+07,0.061036817729473114
2,C0805C106K3PACTU,,Impedance,Ω,2.754229e+07,0.06420841813087463
2,C0805C106K3PACTU,,Impedance,Ω,2.8840318e+07,0.06754195690155029
2,C0805C106K3PACTU,,Impedance,Ω,3.0199518e+07,0.07104583084583282
2,C0805C106K3PACTU,,Impedance,Ω,3.1622776e+07,0.07472891360521317
2,C0805C106K3PACTU,,Impedance,Ω,3.311311e+07,0.07860053330659866
2,C0805C106K3PACTU,,Impedance,Ω,3.467368e+07,0.08267048001289368
2,C0805C106K3PACTU,,Impedance,Ω,3.63078e+07,0.08694902807474136
2,C0805C106K3PACTU,,Impedance,Ω,3.8018932e+07,0.09144701808691025
2,C0805C106K3PACTU,,Impedance,Ω,3.9810708e+07,0.09617583453655243
2,C0805C106K3PACTU,,Impedance,Ω,4.1686928e+07,0.10114745795726776
2,C0805C106K3PACTU,,Impedance,Ω,4.3651568e+07,0.10637442767620087
2,C0805C106K3PACTU,,Impedance,Ω,4.5708804e+07,0.11187003552913666
2,C0805C106K3PACTU,,Impedance,Ω,4.7862992e+07,0.11764819175004959
2,C0805C106K3PACTU,,Impedance,Ω,5.01187e+07,0.12372346222400665
2,C0805C106K3PACTU,,Impedance,Ω,5.248072e+07,0.13011130690574646
2,C0805C106K3PACTU,,Impedance,Ω,5.495406e+07,0.13682790100574493
2,C0805C106K3PACTU,,Impedance,Ω,5.7544024e+07,0.143890380859375
2,C0805C106K3PACTU,,Impedance,Ω,6.0255988e+07,0.1513163298368454
2,C0805C106K3PACTU,,Impedance,Ω,6.3095764e+07,0.1591247320175171
2,C0805C106K3PACTU,,Impedance,Ω,6.6069372e+07,0.16733534634113312
2,C0805C106K3PACTU,,Impedance,Ω,6.918312e+07,0.1759689897298813
2,C0805C106K3PACTU,,Impedance,Ω,7.2443616e+07,0.18504756689071655
2,C0805C106K3PACTU,,Impedance,Ω,7.5857776e+07,0.19459407031536102
2,C0805C106K3PACTU,,Impedance,Ω,7.943284e+07,0.20463263988494873
2,C0805C106K3PACTU,,Impedance,Ω,8.3176392e+07,0.2149513065814972
2,C0805C106K3PACTU,,Impedance,Ω,8.7096368e+07,0.22508108615875244
2,C0805C106K3PACTU,,Impedance,Ω,9.1201088e+07,0.23568785190582275
2,C0805C106K3PACTU,,Impedance,Ω,9.5499264e+07,0.24679414927959442
2,C0805C106K3PACTU,,Impedance,Ω,1e+08,0.2584235370159149
2,C0805C106K3PACTU,,Impedance,Ω,1.04712968e+08,0.2706010937690735
2,C0805C106K3PACTU,,Impedance,Ω,1.09647808e+08,0.2833516597747803
2,C0805C106K3PACTU,,Impedance,Ω,1.14815472e+08,0.2967037856578827
2,C0805C106K3PACTU,,Impedance,Ω,1.20226424e+08,0.3106844425201416
2,C0805C106K3PACTU,,Impedance,Ω,1.25892648e+08,0.32532474398612976
2,C0805C106K3PACTU,,Impedance,Ω,1.3182564e+08,0.34065449237823486
2,C0805C106K3PACTU,,Impedance,Ω,1.38038528e+08,0.3567076623439789
2,C0805C106K3PACTU,,Impedance,Ω,1.4454392e+08,0.37351706624031067
2,C0805C106K3PACTU,,Impedance,Ω,1.51356224e+08,0.3911200761795044
2,C0805C106K3PACTU,,Impedance,Ω,1.58489248e+08,0.4095524549484253
2,C0805C106K3PACTU,,Impedance,Ω,1.659588e+08,0.4288553297519684
2,C0805C106K3PACTU,,Impedance,Ω,1.73779984e+08,0.44906798005104065
2,C0805C106K3PACTU,,Impedance,Ω,1.81970176e+08,0.4702356457710266
2,C0805C106K3PACTU,,Impedance,Ω,1.90545952e+08,0.4924013018608093
2,C0805C106K3PACTU,,Impedance,Ω,1.9952632e+08,0.5156145095825195
2,C0805C106K3PACTU,,Impedance,Ω,2.08929472e+08,0.5399228930473328
2,C0805C106K3PACTU,,Impedance,Ω,2.1877624e+08,0.5653804540634155
2,C0805C106K3PACTU,,Impedance,Ω,2.29086592e+08,0.5920395255088806
2,C0805C106K3PACTU,,Impedance,Ω,2.3988336e+08,0.6199598908424377
2,C0805C106K3PACTU,,Impedance,Ω,2.51188416e+08,0.649198591709137
2,C0805C106K3PACTU,,Impedance,Ω,2.63026848e+08,0.6798214316368103
2,C0805C106K3PACTU,,Impedance,Ω,2.75422592e+08,0.7118912935256958
2,C0805C106K3PACTU,,Impedance,Ω,2.88403168e+08,0.7454804182052612
2,C0805C106K3PACTU,,Impedance,Ω,3.01994848e+08,0.7806580662727356
2,C0805C106K3PACTU,,Impedance,Ω,3.16227776e+08,0.8175036907196045
2,C0805C106K3PACTU,,Impedance,Ω,3.31131456e+08,0.8560952544212341
2,C0805C106K3PACTU,,Impedance,Ω,3.46736832e+08,0.8965147137641907
2,C0805C106K3PACTU,,Impedance,Ω,3.630784e+08,0.9388536810874939
2,C0805C106K3PACTU,,Impedance,Ω,3.80189344e+08,0.98320072889328
2,C0805C106K3PACTU,,Impedance,Ω,3.9810752e+08,1.0296566486358643
2,C0805C106K3PACTU,,Impedance,Ω,4.1686928e+08,1.0783188343048096
2,C0805C106K3PACTU,,Impedance,Ω,4.36516192e+08,1.1292990446090698
2,C0805C106K3PACTU,,Impedance,Ω,4.57088032e+08,1.1827045679092407
2,C0805C106K3PACTU,,Impedance,Ω,4.78630432e+08,1.2386592626571655
2,C0805C106K3PACTU,,Impedance,Ω,5.01187008e+08,1.2972817420959473
2,C0805C106K3PACTU,,Impedance,Ω,5.24807776e+08,1.358708381652832
2,C0805C106K3PACTU,,Impedance,Ω,5.49540608e+08,1.4230716228485107
2,C0805C106K3PACTU,,Impedance,Ω,5.75440256e+08,1.490522027015686
2,C0805C106K3PACTU,,Impedance,Ω,6.02559232e+08,1.561206579208374
2,C0805C106K3PACTU,,Impedance,Ω,6.30957632e+08,1.6352932453155518
2,C0805C106K3PACTU,,Impedance,Ω,6.60692992e+08,1.712944746017456
2,C0805C106K3PACTU,,Impedance,Ω,6.91831232e+08,1.7943482398986816
2,C0805C106K3PACTU,,Impedance,Ω,7.24435392e+08,1.8796857595443726
2,C0805C106K3PACTU,,Impedance,Ω,7.58577792e+08,1.969165563583374
2,C0805C106K3PACTU,,Impedance,Ω,7.94327552e+08,2.0629918575286865
2,C0805C106K3PACTU,,Impedance,Ω,8.31763904e+08,2.1613974571228027
2,C0805C106K3PACTU,,Impedance,Ω,8.70962752e+08,2.2646124362945557
2,C0805C106K3PACTU,,Impedance,Ω,9.12010944e+08,2.3728973865509033
2,C0805C106K3PACTU,,Impedance,Ω,9.54991552e+08,2.4865105152130127
2,C0805C106K3PACTU,,Impedance,Ω,1e+09,2.6057474613189697
2,C0805C106K3PACTU,,Impedance,Ω,1.047129664e+09,2.730905294418335
2,C0805C106K3PACTU,,Impedance,Ω,1.09647808e+09,2.8622987270355225
2,C0805C106K3PACTU,,Impedance,Ω,1.148154752e+09,3.0002827644348145
2,C0805C106K3PACTU,,Impedance,Ω,1.202264192e+09,3.145209312438965
2,C0805C106K3PACTU,,Impedance,Ω,1.258926464e+09,3.297480583190918
2,C0805C106K3PACTU,,Impedance,Ω,1.318256384e+09,3.4574949741363525
2,C0805C106K3PACTU,,Impedance,Ω,1.380385408e+09,3.6257081031799316
2,C0805C106K3PACTU,,Impedance,Ω,1.445439232e+09,3.8025705814361572
2,C0805C106K3PACTU,,Impedance,Ω,1.513562368e+09,3.9885971546173096
2,C0805C106K3PACTU,,Impedance,Ω,1.584892544e+09,4.184292316436768
2,C0805C106K3PACTU,,Impedance,Ω,1.659587968e+09,4.390233039855957
2,C0805C106K3PACTU,,Impedance,Ω,1.737799936e+09,4.606975555419922
2,C0805C106K3PACTU,,Impedance,Ω,1.81970176e+09,4.835146427154541
2,C0805C106K3PACTU,,Impedance,Ω,1.905459584e+09,5.075345993041992
2,C0805C106K3PACTU,,Impedance,Ω,1.995263232e+09,5.3282294273376465
2,C0805C106K3PACTU,,Impedance,Ω,2.08929472e+09,5.594402313232422
2,C0805C106K3PACTU,,Impedance,Ω,2.187762432e+09,5.874505043029785
2,C0805C106K3PACTU,,Impedance,Ω,2.29086592e+09,6.169092178344727
2,C0805C106K3PACTU,,Impedance,Ω,2.398833664e+09,6.4787116050720215
2,C0805C106K3PACTU,,Impedance,Ω,2.511884288e+09,6.803771495819092
2,C0805C106K3PACTU,,Impedance,Ω,2.630268416e+09,7.144629955291748
2,C0805C106K3PACTU,,Impedance,Ω,2.75422592e+09,7.5014495849609375
2,C0805C106K3PACTU,,Impedance,Ω,2.884031744e+09,7.87430477142334
2,C0805C106K3PACTU,,Impedance,Ω,3.019948544e+09,8.26305103302002
2,C0805C106K3PACTU,,Impedance,Ω,3.162277632e+09,8.667478561401367
2,C0805C106K3PACTU,,Impedance,Ω,3.311314688e+09,9.087227821350098
2,C0805C106K3PACTU,,Impedance,Ω,3.467368192e+09,9.521899223327637
2,C0805C106K3PACTU,,Impedance,Ω,3.630784e+09,9.971220970153809
2,C0805C106K3PACTU,,Impedance,Ω,3.801893376e+09,10.434975624084473
2,C0805C106K3PACTU,,Impedance,Ω,3.9810752e+09,10.913276672363281
2,C0805C106K3PACTU,,Impedance,Ω,4.168692736e+09,11.406460762023926
2,C0805C106K3PACTU,,Impedance,Ω,4.365161984e+09,11.915312767028809
2,C0805C106K3PACTU,,Impedance,Ω,4.570880512e+09,12.440874099731445
2,C0805C106K3PACTU,,Impedance,Ω,4.786304512e+09,12.984624862670898
2,C0805C106K3PACTU,,Impedance,Ω,5.011870208e+09,13.5482177734375
2,C0805C106K3PACTU,,Impedance,Ω,5.248077824e+09,14.133621215820312
2,C0805C106K3PACTU,,Impedance,Ω,5.49540608e+09,14.742849349975586
2,C0805C106K3PACTU,,Impedance,Ω,5.754402304e+09,15.378087043762207
2,C0805C106K3PACTU,,Impedance,Ω,6.02559232e+09,16.04146385192871
2,C0805C106K3PACTU,,Impedance,Ω,6.309576192e+09,16.735218048095703
2,C0805C106K3PACTU,,Impedance,Ω,6.60692992e+09,17.461450576782227
2,C0805C106K3PACTU,,Impedance,Ω,6.918311936e+09,18.222370147705078
2,C0805C106K3PACTU,,Impedance,Ω,7.244354048e+09,19.020036697387695
2,C0805C106K3PACTU,,Impedance,Ω,7.585777664e+09,19.856639862060547
2,C0805C106K3PACTU,,Impedance,Ω,7.94327552e+09,20.734214782714844
2,C0805C106K3PACTU,,Impedance,Ω,8.317639168e+09,21.654998779296875
2,C0805C106K3PACTU,,Impedance,Ω,8.709627904e+09,22.62106704711914
2,C0805C106K3PACTU,,Impedance,Ω,9.120109568e+09,23.634737014770508
2,C0805C106K3PACTU,,Impedance,Ω,9.54991616e+09,24.698198318481445
2,C0805C106K3PACTU,,Impedance,Ω,1e+10,25.813901901245117
3,C0805C106K3PACTU,,ESR,Ω,10000,0.04794582724571228
3,C0805C106K3PACTU,,ESR,Ω,10471.28515625,0.0460195429623127
3,C0805C106K3PACTU,,ESR,Ω,10964.78125,0.04417998343706131
3,C0805C106K3PACTU,,ESR,Ω,11481.53515625,0.042423151433467865
3,C0805C106K3PACTU,,ESR,Ω,12022.642578125,0.04074535146355629
3,C0805C106K3PACTU,,ESR,Ω,12589.2509765625,0.039143066853284836
3,C0805C106K3PACTU,,ESR,Ω,13182.5634765625,0.03761301562190056
3,C0805C106K3PACTU,,ESR,Ω,13803.8388671875,0.036151640117168427
3,C0805C106K3PACTU,,ESR,Ω,14454.392578125,0.03475623577833176
3,C0805C106K3PACTU,,ESR,Ω,15135.6064453125,0.03342350199818611
3,C0805C106K3PACTU,,ESR,Ω,15848.9248046875,0.03215078264474869
3,C0805C106K3PACTU,,ESR,Ω,16595.861328125,0.030935415998101234
3,C0805C106K3PACTU,,ESR,Ω,17378,0.029774684458971024
3,C0805C106K3PACTU,,ESR,Ω,18197.017578125,0.02866610698401928
3,C0805C106K3PACTU,,ESR,Ω,19054.6171875,0.027607552707195282
3,C0805C106K3PACTU,,ESR,Ω,19952.6328125,0.026596596464514732
3,C0805C106K3PACTU,,ESR,Ω,20892.96875,0.025631112977862358
3,C0805C106K3PACTU,,ESR,Ω,21877.623046875,0.024709150195121765
3,C0805C106K3PACTU,,ESR,Ω,22908.68359375,0.02382863312959671
3,C0805C106K3PACTU,,ESR,Ω,23988.3359375,0.02298775315284729
3,C0805C106K3PACTU,,ESR,Ω,25118.869140625,0.022184744477272034
3,C0805C106K3PACTU,,ESR,Ω,26302.68359375,0.021417910233139992
3,C0805C106K3PACTU,,ESR,Ω,27542.291015625,0.020685506984591484
3,C0805C106K3PACTU,,ESR,Ω,28840.318359375,0.019986115396022797
3,C0805C106K3PACTU,,ESR,Ω,30199.517578125,0.019318174570798874
3,C0805C106K3PACTU,,ESR,Ω,31622.77734375,0.018680326640605927
3,C0805C106K3PACTU,,ESR,Ω,33113.109375,0.018071185797452927
3,C0805C106K3PACTU,,ESR,Ω,34673.68359375,0.01748940348625183
3,C0805C106K3PACTU,,ESR,Ω,36307.80078125,0.0169338621199131
3,C0805C106K3PACTU,,ESR,Ω,38018.93359375,0.016403332352638245
3,C0805C106K3PACTU,,ESR,Ω,39810.70703125,0.015896642580628395
3,C0805C106K3PACTU,,ESR,Ω,41686.92578125,0.015412749722599983
3,C0805C106K3PACTU,,ESR,Ω,43651.5703125,0.014950677752494812
3,C0805C106K3PACTU,,ESR,Ω,45708.8046875,0.014509379863739014
3,C0805C106K3PACTU,,ESR,Ω,47862.9921875,0.014087933115661144
3,C0805C106K3PACTU,,ESR,Ω,50118.703125,0.013685472309589386
3,C0805C106K3PACTU,,ESR,Ω,52480.71875,0.013301108963787556
3,C0805C106K3PACTU,,ESR,Ω,54954.05859375,0.012934084050357342
3,C0805C106K3PACTU,,ESR,Ω,57544.0234375,0.012583527714014053
3,C0805C106K3PACTU,,ESR,Ω,60255.98828125,0.012248784303665161
3,C0805C106K3PACTU,,ESR,Ω,63095.76171875,0.01192907802760601
3,C0805C106K3PACTU,,ESR,Ω,66069.3671875,0.01162376906722784
3,C0805C106K3PACTU,,ESR,Ω,69183.125,0.01133221946656704
